NAME,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,posneg
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,60,0.5876073,1.946726,0,0.017994354,0.361,3854,pos
GOBP_DNA_TEMPLATED_TRANSCRIPTION_TERMINATION,22,0.707372,1.943761,0,0.01819569,0.374,1507,pos
GOBP_RESPIRATORY_BURST,37,0.6401205,1.9424955,0,0.017939424,0.381,1876,pos
GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION,34,0.6525866,1.9418489,0,0.017806076,0.39,3863,pos
GOBP_NADH_REGENERATION,16,0.7614298,1.9409583,0,0.0177495,0.397,2269,pos
GOBP_POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION,33,0.6546466,1.9385759,0,0.017896656,0.414,1162,pos
GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,19,0.7412797,1.9367758,0.002544529,0.017674161,0.418,2947,pos
GOBP_MRNA_TRANSPORT,127,0.50890625,1.9345785,0,0.017823197,0.43,3070,pos
GOBP_PROTEIN_STABILIZATION,203,0.4823536,1.9343429,0,0.017366191,0.43,2667,pos
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,70,0.55676717,1.9334056,0,0.0172378,0.435,3292,pos
GOBP_REGULATION_OF_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY,53,0.5832273,1.9321511,0,0.017144937,0.444,3361,pos
GOBP_MRNA_EXPORT_FROM_NUCLEUS,68,0.5610559,1.9307438,0,0.01702901,0.449,4573,pos
GOBP_NUCLEAR_TRANSPORT,326,0.4619975,1.9264008,0,0.017620433,0.471,3374,pos
GOBP_RIBOSOME_ASSEMBLY,58,0.56862414,1.9195106,0,0.019381862,0.515,4079,pos
GOBP_INTERFERON_BETA_PRODUCTION,55,0.5856898,1.913679,0,0.020603072,0.544,2539,pos
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,315,0.45364964,1.9129633,0,0.020392084,0.549,3858,pos
GOBP_B_CELL_ACTIVATION,270,0.46525273,1.9099543,0,0.020866953,0.568,4480,pos
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,168,0.4870724,1.9027032,0,0.022523424,0.607,3438,pos
GOBP_POSITIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,36,0.62028277,1.8926147,0.002444988,0.0251496,0.651,2299,pos
GOBP_NEGATIVE_REGULATION_OF_TOR_SIGNALING,56,0.56448627,1.8859702,0,0.027010968,0.684,2798,pos
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_TELOMERIC_REGION,30,0.64153266,1.8827878,0,0.027459493,0.695,738,pos
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,233,0.46161863,1.8827584,0,0.026931426,0.695,3468,pos
GOBP_NEGATIVE_REGULATION_OF_TORC1_SIGNALING,24,0.6669167,1.8824989,0.002564103,0.026515415,0.696,3395,pos
GOBP_RNA_SPLICING,451,0.43582794,1.881253,0,0.026364446,0.705,3862,pos
GOBP_B_CELL_DIFFERENTIATION,150,0.48413742,1.8680844,0,0.030180492,0.759,4468,pos
GOBP_PYROPTOSIS,28,0.64119315,1.8660215,0,0.03038253,0.77,5824,pos
GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_2_SIGNALING_PATHWAY,16,0.7337045,1.8644869,0,0.030577404,0.78,3361,pos
GOBP_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION,46,0.591761,1.8635513,0,0.030451383,0.785,2446,pos
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,18,0.71672523,1.8627737,0.005194805,0.030330194,0.789,4009,pos
GOBP_NEGATIVE_REGULATION_OF_B_CELL_APOPTOTIC_PROCESS,16,0.7493587,1.862193,0.005333333,0.030029157,0.791,3863,pos
GOBP_REGULATION_OF_SPINDLE_ASSEMBLY,32,0.6325597,1.8581022,0,0.031138131,0.807,610,pos
GOBP_REGULATION_OF_PROTEIN_STABILITY,312,0.43971008,1.8565142,0,0.031109354,0.81,2667,pos
GOBP_PROTEIN_DNA_COMPLEX_DISASSEMBLY,20,0.6864918,1.8551197,0,0.03115875,0.812,5109,pos
GOBP_CELLULAR_RESPONSE_TO_ZINC_ION,18,0.7108377,1.853269,0,0.031342186,0.815,4425,pos
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY,26,0.66481173,1.852853,0.010025063,0.030989664,0.817,4646,pos
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION,160,0.4746901,1.8495283,0,0.03165243,0.822,3082,pos
GOBP_REGULATION_OF_NCRNA_TRANSCRIPTION,24,0.6511246,1.8455621,0,0.03296542,0.838,4799,pos
GOBP_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY,22,0.6780767,1.8314348,0,0.038734786,0.889,4211,pos
GOBP_RIBOSOME_BIOGENESIS,293,0.44020483,1.8294233,0,0.038986195,0.897,4242,pos
GOBP_TRANSCRIPTION_INITIATION_COUPLED_CHROMATIN_REMODELING,27,0.633729,1.8263016,0.004901961,0.039783195,0.904,2637,pos
GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS,69,0.52310044,1.8232759,0,0.040785734,0.916,738,pos
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,46,0.5606694,1.8196474,0,0.04180511,0.92,5575,pos
GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS,172,0.46084213,1.8152106,0,0.04368495,0.927,1841,pos
GOBP_RNA_CATABOLIC_PROCESS,310,0.4317219,1.814687,0,0.043344352,0.927,3833,pos
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN,38,0.58205307,1.8109639,0.002638523,0.044653114,0.938,3292,pos
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY,88,0.5083005,1.810501,0,0.04420936,0.939,3858,pos
GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,15,0.72235173,1.8085815,0,0.04438066,0.941,5971,pos
GOBP_REGULATION_OF_RNA_SPLICING,176,0.45679623,1.8067797,0,0.044612113,0.945,3793,pos
GOBP_INTERLEUKIN_6_PRODUCTION,171,0.45080432,1.8067669,0,0.044047404,0.945,3894,pos
GOBP_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND,34,0.60415614,1.8065946,0.002610966,0.04361924,0.945,1,pos
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,35,0.5989798,1.8053598,0.002617801,0.04365331,0.948,3292,pos
GOBP_TYPE_I_INTERFERON_PRODUCTION,102,0.48688462,1.8050371,0,0.043225452,0.95,4261,pos
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,117,0.48275954,1.8046128,0,0.04291004,0.951,5294,pos
GOBP_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS,48,0.5476358,1.7985843,0,0.045292605,0.962,3682,pos
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II,29,0.61547285,1.7977711,0.012315271,0.04520521,0.962,3292,pos
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,68,0.5230122,1.7951972,0,0.04622732,0.965,4242,pos
GOBP_REGULATION_OF_TELOMERASE_ACTIVITY,49,0.560719,1.792604,0.002890173,0.046873074,0.969,4556,pos
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN,47,0.5611529,1.7905954,0,0.047234524,0.969,3292,pos
GOBP_MONONUCLEAR_CELL_DIFFERENTIATION,466,0.41024014,1.7815471,0,0.052033637,0.982,4364,pos
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,31,0.60103494,1.7812415,0,0.051591016,0.982,2947,pos
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION,321,0.4237525,1.7801987,0,0.05157284,0.984,3581,pos
GOBP_NEGATIVE_REGULATION_OF_MACROAUTOPHAGY,34,0.58476716,1.7784313,0,0.05202236,0.987,2494,pos
GOBP_RRNA_PROCESSING,214,0.43656275,1.7766964,0,0.052497968,0.988,4242,pos
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,76,0.49916655,1.7742487,0,0.05326506,0.988,4207,pos
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,95,0.490165,1.7713147,0,0.054308094,0.988,3905,pos
GOBP_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_SIGNALING_PATHWAY,26,0.6587389,1.7709565,0,0.053958673,0.988,2339,pos
GOBP_HYPEROSMOTIC_RESPONSE,26,0.6256742,1.7701597,0.007211539,0.053816702,0.99,825,pos
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,42,0.5560358,1.7690269,0.00257732,0.05383891,0.991,2863,pos
GOBP_ATP_METABOLIC_PROCESS,202,0.44034943,1.7673395,0,0.054119695,0.994,4567,pos
GOBP_REGULATION_OF_AUTOPHAGOSOME_MATURATION,17,0.6993204,1.7661251,0.00486618,0.054141104,0.994,477,pos
GOBP_MATURATION_OF_LSU_RRNA,22,0.6503338,1.765989,0.009259259,0.053640936,0.994,4242,pos
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,268,0.42764577,1.7630942,0,0.054654103,0.994,4307,pos
GOBP_POSITIVE_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,44,0.55695796,1.7590262,0,0.05670583,0.995,3219,pos
GOBP_REGULATION_OF_VIRAL_INDUCED_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,54,0.5333948,1.7561443,0,0.057769254,0.996,2597,pos
GOBP_IMPORT_INTO_NUCLEUS,166,0.4442628,1.7558687,0,0.05740498,0.996,3209,pos
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE,19,0.6670357,1.7558626,0.010638298,0.056863423,0.996,2488,pos
GOBP_SUPPRESSION_OF_VIRAL_RELEASE_BY_HOST,16,0.69931465,1.7543875,0.010152284,0.05726183,0.996,1802,pos
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY,24,0.62581825,1.7541238,0.007407407,0.056821674,0.996,5559,pos
GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN,96,0.48063833,1.75272,0,0.05702795,0.996,2947,pos
GOBP_CHAPERONE_MEDIATED_AUTOPHAGY,15,0.723118,1.7527148,0.002570694,0.056520887,0.996,2181,pos
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS,296,0.42306447,1.7521982,0,0.05628632,0.996,3395,pos
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,367,0.41104054,1.7509713,0,0.05646953,0.996,3468,pos
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION,53,0.54862744,1.7497365,0,0.05679127,0.996,2299,pos
GOBP_MRNA_PROCESSING,485,0.39585078,1.7467974,0,0.057870183,0.996,4656,pos
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,322,0.41307396,1.745531,0,0.058046408,0.996,3468,pos
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,84,0.4907429,1.742846,0,0.058935974,0.997,3395,pos
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY,15,0.7177378,1.7421,0.005208334,0.05883929,0.998,6652,pos
GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,80,0.49598482,1.7418747,0.002898551,0.058464307,0.999,738,pos
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE,445,0.40179908,1.7412692,0,0.058279805,0.999,3635,pos
GOBP_CYTOSOLIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,95,0.4846263,1.7401491,0,0.058485452,0.999,3468,pos
GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,15,0.70656484,1.7343109,0.014814815,0.061389685,1,5507,pos
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT,17,0.6643646,1.7320148,0.012658228,0.06241364,1,3869,pos
GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY,42,0.554349,1.7313026,0.002680965,0.06229164,1,2921,pos
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,98,0.46889856,1.73023,0.003067485,0.06225009,1,3894,pos
GOBP_RRNA_METABOLIC_PROCESS,252,0.4215324,1.7297728,0,0.062141567,1,5005,pos
GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION,82,0.4822839,1.7292799,0,0.061880793,1,3025,pos
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,50,0.5359467,1.7292241,0,0.06144179,1,3485,pos
GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_SIGNALING_PATHWAY,209,0.43135154,1.7276269,0,0.061989464,1,3468,pos
GOBP_NUCLEUS_LOCALIZATION,28,0.59989965,1.7252452,0.012376238,0.0629336,1,1103,pos
GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,31,0.59384793,1.7247597,0.002666667,0.06278726,1,3292,pos
GOBP_B_CELL_PROLIFERATION,99,0.4737343,1.7225579,0,0.063622914,1,3542,pos
GOBP_POSITIVE_REGULATION_OF_INTERFERON_ALPHA_PRODUCTION,22,0.62916815,1.714324,0.010178117,0.06782099,1,3438,pos
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,61,0.514438,1.7131792,0.005681818,0.06804359,1,2075,pos
GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,116,0.4517613,1.7128155,0,0.067727074,1,2947,pos
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME,28,0.58393,1.711697,0.01724138,0.06796462,1,3885,pos
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,43,0.53663695,1.7094834,0.008287293,0.06891971,1,3968,pos
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS,37,0.5704583,1.7094594,0.004987531,0.06841665,1,3863,pos
GOBP_NEGATIVE_REGULATION_OF_ATP_METABOLIC_PROCESS,20,0.6341663,1.7078629,0.012755103,0.0688912,1,1108,pos
GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,107,0.46531954,1.7040966,0,0.07062169,1,2929,pos
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY,423,0.39325997,1.70252,0,0.07115379,1,3525,pos
GOBP_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING,190,0.42433488,1.7018132,0,0.071105786,1,4432,pos
GOBP_RESPONSE_TO_MURAMYL_DIPEPTIDE,20,0.6481865,1.6989177,0.01055409,0.07262342,1,3209,pos
GOBP_PEPTIDYL_SERINE_DEPHOSPHORYLATION,15,0.69058865,1.6971714,0.009876544,0.07332093,1,3683,pos
GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,249,0.41193986,1.696713,0,0.07308157,1,4785,pos
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,60,0.5037564,1.6950537,0,0.07341109,1,738,pos
GOBP_REGULATION_OF_B_CELL_ACTIVATION,129,0.45416042,1.6930695,0.003460208,0.074442044,1,3542,pos
GOBP_MITOCHONDRIAL_TRANSPORT,188,0.4307426,1.6924977,0,0.07431528,1,5294,pos
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,219,0.41414222,1.6905425,0,0.07508193,1,3082,pos
GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,29,0.5808822,1.6894265,0.010050251,0.07530533,1,2266,pos
GOBP_RESPONSE_TO_INTERLEUKIN_7,15,0.6814949,1.6891942,0.013157895,0.074988924,1,3424,pos
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,177,0.4205187,1.6875575,0,0.0757042,1,4211,pos
GOBP_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY,103,0.45455226,1.6861054,0,0.076304145,1,1891,pos
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,36,0.54492605,1.6852984,0,0.07630806,1,738,pos
GOBP_MICROTUBULE_NUCLEATION,38,0.53981876,1.6850705,0.005319149,0.07593973,1,2469,pos
GOBP_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING,291,0.40328252,1.6834989,0,0.07649564,1,3926,pos
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,69,0.4842544,1.6811067,0,0.07753918,1,3793,pos
GOBP_REGULATION_OF_CARBOHYDRATE_CATABOLIC_PROCESS,56,0.50602466,1.6804134,0,0.07751826,1,3571,pos
GOBP_INTRACELLULAR_PROTEIN_TRANSMEMBRANE_TRANSPORT,56,0.5013505,1.6781768,0.01369863,0.07863381,1,1825,pos
GOBP_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION,46,0.5222695,1.6779778,0.002583979,0.07827731,1,3209,pos
GOBP_TORC1_SIGNALING,58,0.50121814,1.6769462,0.002631579,0.078474075,1,3556,pos
GOBP_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY,26,0.6016932,1.6753951,0.010695187,0.07911775,1,5197,pos
GOBP_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,73,0.4833333,1.674298,0.002985075,0.079435654,1,1000,pos
GOBP_POSITIVE_REGULATION_OF_B_CELL_DIFFERENTIATION,16,0.6457802,1.6737976,0.007731959,0.07928482,1,3025,pos
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,466,0.3856236,1.6714836,0,0.08035279,1,3525,pos
GOBP_ADP_METABOLIC_PROCESS,93,0.46890968,1.6695138,0,0.08137563,1,3739,pos
GOBP_REGULATION_OF_NUCLEOTIDE_EXCISION_REPAIR,27,0.5857548,1.6678199,0.018041236,0.08209186,1,4495,pos
GOBP_METHYLGUANOSINE_CAP_DECAPPING,15,0.6789295,1.6676223,0.010309278,0.08171742,1,3833,pos
GOBP_NEGATIVE_REGULATION_OF_AUTOPHAGY,88,0.45426804,1.6674175,0.00887574,0.081389636,1,4415,pos
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION,52,0.512942,1.6669974,0,0.08120956,1,2912,pos
GOBP_NEGATIVE_REGULATION_OF_POST_TRANSCRIPTIONAL_GENE_SILENCING,17,0.64980805,1.6647962,0.010362694,0.08231055,1,4362,pos
GOBP_LYMPHOCYTE_APOPTOTIC_PROCESS,79,0.4705986,1.6632284,0.006042296,0.08302067,1,3863,pos
GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,62,0.48251918,1.6622902,0,0.08319011,1,4303,pos
GOBP_POLY_A_PLUS_MRNA_EXPORT_FROM_NUCLEUS,23,0.6045041,1.6618844,0.00795756,0.08304666,1,2555,pos
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,15,0.6751308,1.660672,0.028708134,0.083552524,1,4242,pos
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,92,0.46076393,1.6604404,0.00304878,0.0832632,1,3283,pos
GOBP_REGULATION_OF_VIRAL_TRANSCRIPTION,19,0.62690145,1.6601833,0.015424165,0.0829694,1,4157,pos
GOBP_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,105,0.45531517,1.6586653,0,0.08348504,1,4606,pos
GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION,494,0.3757264,1.6571517,0,0.08423795,1,3620,pos
GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,87,0.4693697,1.6561947,0.002857143,0.084480666,1,2622,pos
GOBP_RNA_DECAPPING,18,0.6318229,1.6561688,0.012953368,0.08403883,1,3833,pos
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,171,0.41839603,1.655523,0,0.084047906,1,5163,pos
GOBP_NUCLEOTIDE_PHOSPHORYLATION,101,0.45068836,1.6547374,0.006230529,0.08427154,1,3556,pos
GOBP_POSITIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY,158,0.42776355,1.6545887,0,0.08391137,1,2604,pos
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_IN_RESPONSE_TO_DNA_DAMAGE,19,0.623054,1.652936,0.009708738,0.084727645,1,3647,pos
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,34,0.5537619,1.6508162,0.005,0.08575611,1,1435,pos
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_ACTIVITY,33,0.57087475,1.6505221,0.011682243,0.08550566,1,3635,pos
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,44,0.5205965,1.6502119,0.00530504,0.08532287,1,3488,pos
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION,104,0.45194703,1.6499003,0,0.0850709,1,4394,pos
GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS,23,0.5947331,1.6474736,0.0175,0.0864443,1,1108,pos
GOBP_T_CELL_SELECTION,49,0.51539224,1.6453482,0.008333334,0.08779425,1,5247,pos
GOBP_T_HELPER_CELL_LINEAGE_COMMITMENT,18,0.63717693,1.6447779,0.022613065,0.087767236,1,2979,pos
GOBP_GLUCOSE_CATABOLIC_PROCESS,24,0.59093195,1.6443589,0.022613065,0.08755659,1,2269,pos
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,37,0.5449875,1.6417356,0.005479452,0.08912516,1,4905,pos
GOBP_MYD88_DEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,19,0.62219036,1.6407495,0.022959184,0.08944734,1,5575,pos
GOBP_POSITIVE_T_CELL_SELECTION,37,0.5453423,1.6404004,0.013368984,0.08930062,1,5247,pos
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,67,0.4820662,1.6379839,0.002808989,0.09056235,1,3237,pos
