NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	10		Rejected!	
GOBP_MATURATION_OF_5_8S_RRNA	36	36		
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	38	36		
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	15	15		
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	25	25		
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	29	29		
GOBP_MATURATION_OF_LSU_RRNA	22	22		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	17	17		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	8		Rejected!	
GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	12		Rejected!	
GOBP_BOX_C_D_SNORNP_ASSEMBLY	10		Rejected!	
GOBP_EMBRYONIC_AXIS_SPECIFICATION	38	32		
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	17	17		
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	14		Rejected!	
GOBP_TELOMERE_MAINTENANCE	156	155		
GOBP_RECOMBINATIONAL_REPAIR	175	174		
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	12		Rejected!	
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING	21	21		
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	40	40		
GOBP_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC	8		Rejected!	
GOBP_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	5		Rejected!	
GOBP_SISTER_CHROMATID_SEGREGATION	253	250		
GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	8		Rejected!	
GOBP_CELL_MORPHOGENESIS	931		Rejected!	
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	625		Rejected!	
GOBP_CYTOKINESIS	185	180		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	128	123		
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	6		Rejected!	
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	50	50		
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	5		Rejected!	
GOBP_MITOCHONDRIAL_RNA_PROCESSING	19	19		
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	5		Rejected!	
GOBP_RNA_5_END_PROCESSING	23	23		
GOBP_RRNA_5_END_PROCESSING	5		Rejected!	
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	7		Rejected!	
GOBP_RESPONSE_TO_ACID_CHEMICAL	136	122		
GOBP_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	11		Rejected!	
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA	15	15		
GOBP_GUANINE_NUCLEOTIDE_TRANSPORT	8		Rejected!	
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	536	496		
GOBP_CARTILAGE_CONDENSATION	20	18		
GOBP_OSSIFICATION	428	399		
GOBP_NEUROTRANSMITTER_UPTAKE	45	44		
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	212	202		
GOBP_ACTION_POTENTIAL	142	131		
GOBP_RNA_METHYLATION	90	88		
GOBP_PSEUDOURIDINE_SYNTHESIS	17	17		
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	156	142		
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	57	56		
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE	9		Rejected!	
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	11		Rejected!	
GOBP_LUTEINIZATION	12		Rejected!	
GOBP_LUTEOLYSIS	7		Rejected!	
GOBP_OOCYTE_MATURATION	30	30		
GOBP_REGULATION_OF_CELL_GROWTH	423	405		
GOBP_FATTY_ACID_ALPHA_OXIDATION	8		Rejected!	
GOBP_RESPONSE_TO_PROTOZOAN	29	29		
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	36	33		
GOBP_VASCULOGENESIS	83	77		
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	27	24		
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	17	15		
GOBP_MICROTUBULE_BUNDLE_FORMATION	124	105		
GOBP_OSTEOBLAST_DIFFERENTIATION	250	232		
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	66	63		
GOBP_METANEPHROS_DEVELOPMENT	92	81		
GOBP_TEMPERATURE_HOMEOSTASIS	179	169		
GOBP_FEVER_GENERATION	11		Rejected!	
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	499	465		
GOBP_ACROSOME_ASSEMBLY	27	23		
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	110	106		
GOBP_INTRACELLULAR_GLUCOSE_HOMEOSTASIS	158	151		
GOBP_TRNA_5_LEADER_REMOVAL	13		Rejected!	
GOBP_HISTAMINE_METABOLIC_PROCESS	6		Rejected!	
GOBP_GASTRIC_ACID_SECRETION	18	17		
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	400	382		
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND	28	28		
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER	127	117		
GOBP_ENDODERM_FORMATION	57	54		
GOBP_CELL_FATE_SPECIFICATION	109	97		
GOBP_CELL_FATE_DETERMINATION	44	39		
GOBP_MESODERMAL_CELL_FATE_COMMITMENT	18		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_COMMITMENT	15		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_SPECIFICATION	8		Rejected!	
GOBP_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX	10		Rejected!	
GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX	16	16		
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	96	91		
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	47	45		
GOBP_SOMITOGENESIS	66	57		
GOBP_SOMITE_SPECIFICATION	5		Rejected!	
GOBP_ORGAN_INDUCTION	24	21		
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	203	187		
GOBP_NEURON_MIGRATION	176	169		
GOBP_MEMBRANE_RAFT_ASSEMBLY	10		Rejected!	
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	16	15		
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION	16	16		
GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION	29	29		
GOBP_CELL_ACTIVATION	1098		Rejected!	
GOBP_LEUKOCYTE_HOMEOSTASIS	103	101		
GOBP_PLASMA_MEMBRANE_REPAIR	29	27		
GOBP_NATURAL_KILLER_CELL_DIFFERENTIATION	25	25		
GOBP_NEUTROPHIL_HOMEOSTASIS	20	20		
GOBP_NEUTROPHIL_APOPTOTIC_PROCESS	8		Rejected!	
GOBP_B_CELL_HOMEOSTASIS	34	34		
GOBP_B_CELL_APOPTOTIC_PROCESS	27	27		
GOBP_NATURAL_KILLER_CELL_PROLIFERATION	15	15		
GOBP_ANTIBODY_DEPENDENT_CELLULAR_CYTOTOXICITY	5		Rejected!	
GOBP_CYTOKINE_PRODUCTION	862		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	373	346		
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	490	474		
GOBP_SEROTONIN_SECRETION	10		Rejected!	
GOBP_HISTAMINE_SECRETION	14		Rejected!	
GOBP_MESONEPHROS_DEVELOPMENT	102	93		
GOBP_BLASTOCYST_DEVELOPMENT	116	111		
GOBP_BLASTOCYST_FORMATION	45	42		
GOBP_INNER_CELL_MASS_CELL_DIFFERENTIATION	8		Rejected!	
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	19	17		
GOBP_BLASTOCYST_GROWTH	22	21		
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION	14		Rejected!	
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	58	57		
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	174	160		
GOBP_NEURAL_PLATE_MORPHOGENESIS	5		Rejected!	
GOBP_NEURAL_PLATE_DEVELOPMENT	9		Rejected!	
GOBP_NEURAL_TUBE_FORMATION	105	102		
GOBP_NEURAL_FOLD_FORMATION	7		Rejected!	
GOBP_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	6		Rejected!	
GOBP_PHAGOLYSOSOME_ASSEMBLY	19	19		
GOBP_NK_T_CELL_DIFFERENTIATION	10		Rejected!	
GOBP_NK_T_CELL_PROLIFERATION	9		Rejected!	
GOBP_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	11		Rejected!	
GOBP_RESPONSE_TO_YEAST	7		Rejected!	
GOBP_RECEPTOR_RECYCLING	44	44		
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	68	66		
GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS	9		Rejected!	
GOBP_PLACENTA_DEVELOPMENT	153	147		
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT	90	85		
GOBP_MATERNAL_PLACENTA_DEVELOPMENT	35	35		
GOBP_TISSUE_HOMEOSTASIS	263	248		
GOBP_RETINA_HOMEOSTASIS	80	71		
GOBP_CELL_KILLING	199	192		
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	138	133		
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	95	92		
GOBP_T_CELL_MEDIATED_CYTOTOXICITY	59	57		
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	50	49		
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	10		Rejected!	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	40	39		
GOBP_REGULATION_OF_RECEPTOR_RECYCLING	22	22		
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_RECYCLING	5		Rejected!	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING	12		Rejected!	
GOBP_B_1_B_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_ENDOTHELIAL_CELL_PROLIFERATION	208	195		
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	78	68		
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	115	112		
GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	37	35		
GOBP_VASCULATURE_DEVELOPMENT	816		Rejected!	
GOBP_LYMPH_VESSEL_DEVELOPMENT	31	29		
GOBP_LYMPHANGIOGENESIS	18	17		
GOBP_REGULATION_OF_CELL_MATRIX_ADHESION	125	121		
GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION	40	40		
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	56	53		
GOBP_BLOOD_VESSEL_MATURATION	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	15	15		
GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	27	26		
GOBP_STARTLE_RESPONSE	27	26		
GOBP_SUCKLING_BEHAVIOR	12		Rejected!	
GOBP_BLOOD_VESSEL_REMODELING	50	46		
GOBP_RESPONSE_TO_AMPHETAMINE	32	31		
GOBP_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	14		Rejected!	
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME	15	15		
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	39	38		
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	17	16		
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_VASOPRESSIN	5		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_NOREPINEPHRINE_EPINEPHRINE	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_HEART_RATE_BY_EPINEPHRINE_NOREPINEPHRINE	5		Rejected!	
GOBP_RENIN_SECRETION_INTO_BLOOD_STREAM	6		Rejected!	
GOBP_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	10		Rejected!	
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	522	489		
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	61	59		
GOBP_REGULATION_OF_BLOOD_VOLUME_BY_RENIN_ANGIOTENSIN	9		Rejected!	
GOBP_RESPONSE_TO_DIETARY_EXCESS	34	30		
GOBP_REDUCTION_OF_FOOD_INTAKE_IN_RESPONSE_TO_DIETARY_EXCESS	6		Rejected!	
GOBP_DIET_INDUCED_THERMOGENESIS	13		Rejected!	
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION	26	24		
GOBP_REGULATION_OF_HEART_RATE	106	96		
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT	92	87		
GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	15	15		
GOBP_BRAIN_RENIN_ANGIOTENSIN_SYSTEM	5		Rejected!	
GOBP_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	8		Rejected!	
GOBP_SPROUTING_ANGIOGENESIS	191	174		
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	96	87		
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	55	48		
GOBP_POSITIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION	29	27		
GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	24	20		
GOBP_CHONDROCYTE_DIFFERENTIATION	113	105		
GOBP_CHONDROCYTE_DEVELOPMENT	32	29		
GOBP_EPITHELIAL_CELL_DEVELOPMENT	215	201		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION	118	108		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DEVELOPMENT	50	45		
GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	74	67		
GOBP_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT	36	32		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION	12		Rejected!	
GOBP_EPITHELIAL_CELL_MATURATION	23	22		
GOBP_GLANDULAR_EPITHELIAL_CELL_MATURATION	9		Rejected!	
GOBP_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT	7		Rejected!	
GOBP_OSTEOBLAST_DEVELOPMENT	17	17		
GOBP_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	24	22		
GOBP_PROTEIN_DEPALMITOYLATION	10		Rejected!	
GOBP_INHIBITION_OF_NEUROEPITHELIAL_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE_BY_NERVOUS_SYSTEM_PROCESS	12		Rejected!	
GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE	87	81		
GOBP_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	21	20		
GOBP_REGULATION_OF_RECEPTOR_INTERNALIZATION	64	61		
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	17	17		
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	28	27		
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	18	18		
GOBP_TRNA_WOBBLE_BASE_MODIFICATION	19	19		
GOBP_TRNA_WOBBLE_URIDINE_MODIFICATION	16	16		
GOBP_STORE_OPERATED_CALCIUM_ENTRY	22	22		
GOBP_AGGRESSIVE_BEHAVIOR	8		Rejected!	
GOBP_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	8		Rejected!	
GOBP_OSTEOCLAST_PROLIFERATION	11		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATION	159	155		
GOBP_CYTOPLASMIC_TRANSLATIONAL_ELONGATION	12		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	38	37		
GOBP_CAP_DEPENDENT_TRANSLATIONAL_INITIATION	7		Rejected!	
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	80	79		
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNOGLOBULINS_INVOLVED_IN_IMMUNE_RESPONSE	54	53		
GOBP_BEHAVIORAL_DEFENSE_RESPONSE	40	39		
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	237	233		
GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	80	79		
GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	70	69		
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	28	26		
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	80	78		
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	31	30		
GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE	8		Rejected!	
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	366	355		
GOBP_RESPONSE_TO_MOLECULE_OF_FUNGAL_ORIGIN	5		Rejected!	
GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	132	128		
GOBP_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE	9		Rejected!	
GOBP_CONNECTIVE_TISSUE_REPLACEMENT_INVOLVED_IN_INFLAMMATORY_RESPONSE_WOUND_HEALING	7		Rejected!	
GOBP_LYMPHOCYTE_ANERGY	8		Rejected!	
GOBP_ADAPTIVE_IMMUNE_RESPONSE	685	444		
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	43	40		
GOBP_IMMUNE_EFFECTOR_PROCESS	638		Rejected!	
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	499	466		
GOBP_LYMPHOCYTE_HOMEOSTASIS	72	70		
GOBP_MYELOID_CELL_HOMEOSTASIS	172	167		
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	302	294		
GOBP_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	50	48		
GOBP_MYELOID_LEUKOCYTE_ACTIVATION	242	235		
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	100	96		
GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	19	19		
GOBP_MICROGLIAL_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	5		Rejected!	
GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	21	20		
GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	209	205		
GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	119	116		
GOBP_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL	10		Rejected!	
GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	80	80		
GOBP_T_HELPER_CELL_LINEAGE_COMMITMENT	18	18		
GOBP_T_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	5		Rejected!	
GOBP_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	89	88		
GOBP_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	32	32		
GOBP_GERMINAL_CENTER_B_CELL_DIFFERENTIATION	9		Rejected!	
GOBP_MARGINAL_ZONE_B_CELL_DIFFERENTIATION	9		Rejected!	
GOBP_PLASMA_CELL_DIFFERENTIATION	9		Rejected!	
GOBP_MYELOID_PROGENITOR_CELL_DIFFERENTIATION	9		Rejected!	
GOBP_LYMPHOID_PROGENITOR_CELL_DIFFERENTIATION	24	23		
GOBP_B_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	6		Rejected!	
GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	35	32		
GOBP_B_CELL_LINEAGE_COMMITMENT	6		Rejected!	
GOBP_IMMATURE_B_CELL_DIFFERENTIATION	12		Rejected!	
GOBP_PRO_B_CELL_DIFFERENTIATION	12		Rejected!	
GOBP_MATURE_B_CELL_DIFFERENTIATION	38	38		
GOBP_RESPONSE_TO_TUMOR_CELL	42	40		
GOBP_DEFENSE_RESPONSE_TO_TUMOR_CELL	13		Rejected!	
GOBP_T_CELL_LINEAGE_COMMITMENT	30	29		
GOBP_CD4_POSITIVE_CD25_POSITIVE_ALPHA_BETA_REGULATORY_T_CELL_DIFFERENTIATION	10		Rejected!	
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	122	121		
